target,model,horizon,MAE,RMSE,MAPE,n
Children discharged from HHS Care,ETS,1,6.781439539761749,8.662479167071098,37.46139727587538,5.0
Children discharged from HHS Care,ETS,7,1.739904815138648,2.274464040786966,13.539829315423896,5.0
Children discharged from HHS Care,ETS,14,4.891732045203225,6.622721930992489,41.85797418651207,5.0
Children discharged from HHS Care,GradientBoosting,1,4.916803737140745,6.027329375598686,32.71237679623963,5.0
Children discharged from HHS Care,GradientBoosting,7,2.207556261847766,2.3109866887175436,19.462343759192425,5.0
Children discharged from HHS Care,GradientBoosting,14,2.821960105375979,4.084708023605628,47.386622382422594,5.0
Children discharged from HHS Care,RandomForest,1,4.531157482337892,5.113200721908665,31.748891520481987,5.0
Children discharged from HHS Care,RandomForest,7,1.8169360645786408,2.0330858871210027,17.448522264850713,5.0
Children discharged from HHS Care,RandomForest,14,2.794177997759701,3.084592274701678,37.6694714766877,5.0
Children discharged from HHS Care,SARIMA,1,5.537397036191006,7.085307073216418,28.912360945867626,5.0
Children discharged from HHS Care,SARIMA,7,2.409522130633715,3.7383454501925573,16.95786379589627,5.0
Children discharged from HHS Care,SARIMA,14,5.94694048518483,7.478288438444395,55.86505924237775,5.0
Children discharged from HHS Care,moving_average,1,5.514285714285714,6.570496828355415,32.192460317460316,5.0
Children discharged from HHS Care,moving_average,7,1.6285714285714286,2.063284482843521,13.0320006790595,5.0
Children discharged from HHS Care,moving_average,14,5.0,5.464168999687222,57.528344671201815,5.0
Children discharged from HHS Care,naive_persistence,1,5.0,6.340346993658944,26.999999999999996,5.0
Children discharged from HHS Care,naive_persistence,7,2.2,3.0659419433511785,17.3475935828877,5.0
Children discharged from HHS Care,naive_persistence,14,4.2,4.626013402488151,49.23809523809524,5.0
Children in HHS Care,ETS,1,30.508138010128686,34.69825941451505,1.3421379206020272,5.0
Children in HHS Care,ETS,7,83.28784402461315,107.33424061948854,3.6705469493595855,5.0
Children in HHS Care,ETS,14,100.43998416380983,120.97584431666151,4.445266838581064,5.0
Children in HHS Care,GradientBoosting,1,21.56764886145597,22.981730482439865,0.9560442353417273,5.0
Children in HHS Care,GradientBoosting,7,50.237616902153604,59.7893425756923,2.215271804766443,5.0
Children in HHS Care,GradientBoosting,14,66.19424188784123,89.9683934285847,3.0173640311314376,5.0
Children in HHS Care,RandomForest,1,15.054023062017313,20.214538624116656,0.633183009456479,5.0
Children in HHS Care,RandomForest,7,13.865337525978248,15.706454324253867,0.6024775344849304,5.0
Children in HHS Care,RandomForest,14,22.46425805602621,29.96800777346351,1.0341261373655486,5.0
Children in HHS Care,SARIMA,1,9.083521186990765,11.686090978941321,0.3840110707414098,5.0
Children in HHS Care,SARIMA,7,24.958942904877222,32.71427919554701,1.1533583966513303,5.0
Children in HHS Care,SARIMA,14,74.93666873555053,105.18696194753912,3.2898788696368086,5.0
Children in HHS Care,moving_average,1,36.91428571428573,43.393618453051126,1.5956339232021257,5.0
Children in HHS Care,moving_average,7,87.91428571428574,105.74365422172275,3.910581052968255,5.0
Children in HHS Care,moving_average,14,129.51428571428573,148.46579349040198,5.849244443456526,5.0
Children in HHS Care,naive_persistence,1,10.8,13.29661611087573,0.48254475045013107,5.0
Children in HHS Care,naive_persistence,7,60.6,76.35574634564186,2.732696563565293,5.0
Children in HHS Care,naive_persistence,14,102.2,120.82466635583978,4.661409443492326,5.0
Children discharged from HHS Care,ETS,all,4.4710254667012075,6.430971356594653,30.95306692593711,15.0
Children discharged from HHS Care,GradientBoosting,all,3.3154400347881627,4.41037407769049,33.18711431261821,15.0
Children discharged from HHS Care,RandomForest,all,3.0474238482254115,3.6420218445293617,28.955628420673467,15.0
Children discharged from HHS Care,SARIMA,all,4.631286550669851,6.327232175164669,33.91176132804722,15.0
Children discharged from HHS Care,moving_average,all,4.0476190476190474,5.075618658046008,34.25093522257387,15.0
Children discharged from HHS Care,naive_persistence,all,3.8,4.864839839775475,31.195229606994314,15.0
Children in HHS Care,ETS,all,71.41198873285056,95.49827803663682,3.152650569514225,15.0
Children in HHS Care,GradientBoosting,all,45.999835883816935,63.763200561979325,2.0628933570798695,15.0
Children in HHS Care,RandomForest,all,17.12787288134059,22.755232139269616,0.7565955604356526,15.0
Children in HHS Care,SARIMA,all,36.326377609139506,63.95593730427571,1.6090827790098496,15.0
Children in HHS Care,moving_average,all,84.7809523809524,108.17704372516214,3.785153139875635,15.0
Children in HHS Care,naive_persistence,all,57.86666666666667,82.8766151174946,2.6255502525025833,15.0
